DataHoraAbertura;NumProcesso;Cliente;Prioridade;Tecnico;DescricaoProb;ComoReproduzir;Classificacao;Departamento
19/04/2023 16:37;11007;2361;1;FS;Na empresa MGS não consigo anular as contas sem taxonomia e logo não consigo apurar os resultados de 2022. Sónia     ;Na empresa MGS não consigo anular as contas sem taxonomia e logo não consigo apurar os resultados de 2022. Sónia ;3;Cluster D
06/01/2022 08:46;4732;1533;2;TE;Folha Seg. Social com apoia filhos.     ;Bom Dia, Preciso de ajuda para imprimr a folha de seg. social porque tenho um empregado que em Dezembro teve apoio filhos.;1;Cluster B
25/11/2021 15:30;4150;1728;1;FS;disco rigido    ;Boa Tarde,mensagem recebida hoje. Analisar pf. Obrigada;1;Cluster B
21/11/2023 09:46;13580;2411;1;PM;Agendamento de importações - PAA, não funciona    ;Agendamento de importações - PAA, não funciona;0;Cluster A
21/09/2021 09:35;3414;2301;1;TE;N?o consigo Trabalhar no Primavera    ;Problema no primavera;2;Cluster C
13/10/2022 18:07;8043;1728;1;RF;VGED     ;VGED  não envia o e-mail para o Sr. Oliveira (erro);1;Cluster B
26/07/2022 15:25;7283;2301;1;FS;Mapa de depreciações Cergam    ;Existe alguma divergência nos mapas de depreciações da empresa Cergam, pois os valores não estão corretos. Não aparecem as amortizações de 2019, apesar de processadas no administrador.  Alguma dúvida podem ligar para a Raquel Nabais.  Obrigado.;1;Cluster B
26/01/2023 10:24;9540;2045;1;TE;Cancelamento do pedido de assistência  -  JOSE FERNANDO da COSTA MOREIRA     ;Cancelamento do pedido de assistência  -  JOSE FERNANDO da COSTA MOREIRA ;0;Cluster A
19/12/2023 09:10;13866;1987;2;FS;Conta corrente cliente RGG     ;Conta corrente cliente RGG;1;Cluster B
15/05/2023 15:04;11341;1287;1;SP;Como gerar um único ficheiro SEPA XML - Modulo Tesouraria - de vários pagamentos/transferências a fornecedores    ;Como gerar um único ficheiro SEPA XML - Modulo Tesouraria - de vários pagamentos/transferências a fornecedores;2;Cluster C
08/06/2022 16:42;6818;1558;1;RF;alteração da morada no relatório fatura JSMOURA    ;Francisco - contabilidade primavera;0;Cluster A
04/04/2023 10:31;10746;4;1;SP;Mapa de comissões dos vendedores apresenta erro de cálculo    ;Mapa de comissões dos vendedores apresenta erro de cálculo;0;Cluster A
05/04/2023 15:47;10800;2411;2;TE;Boa tarde, necessitamos de ajuda na instalação do office 365 e aplicações, o problema  surge no momento que tentamos instalar o executável simplesmente desaparece.    ;Boa tarde, necessitamos de ajuda na instalação do office 365 e aplicações, o problema  surge no momento que tentamos instalar o executável simplesmente desaparece.;2;Cluster C
04/04/2022 17:14;6044;2347;1;FS;recursos humanos    ;retenções não esta a fazer corretamente;1;Cluster B
03/02/2023 14:32;9755;2045;1;FS;Erro no envio do SAFT - Cliente DHZ     ;Erro ao submeter o SAFT do cliente DHZ, erro em anexo.;0;Cluster A
24/07/2023 14:45;12400;2411;2;TE;Boa tarde,  Como se faz alteração do numero da conta de custos aplicado pelo DOC FA do modulo de vendas? objetivo e alterar do 721 para 7211 na empresa variável real.    ;Boa tarde,  Como se faz alteração do numero da conta de custos aplicado pelo DOC FA do modulo de vendas? objetivo e alterar do 721 para 7211 na empresa variável real.;2;Cluster C
18/03/2022 15:12;5855;2301;1;FS;Erro Mapa Transferência  Esclarecimentos no fiscal report    ;Boa Tarde, Ao emitir o mapa de transferência dos vencimentos da empresa Getinge, dá-me erro. Todos os meses faço nunca me deu erro, podem por favor ver o que se passa? Obrigada. Fátima Capito;0;Cluster A
29/08/2022 09:35;7605;2347;1;TE;erro na integração de produtos zrest para primavera    ;no iongtegrador existe um problema a informar a licença, agradecemos que verifiquem por favor.;0;Cluster A
10/02/2023 10:05;9875;1099;1;PM;ENVIO INVENTARIO EXCELL CSV    ;"NÃO ESTOU A CONSEGUIR COMUNICAR À AT UM INVENTÁRIO. DÁ ERRO ""MAXlLENGT 200"". NÃO CONSIGO REDUZIR OS ESPAÇAMENTOS. ";1;Cluster B
10/01/2024 10:21;14178;2332;2;FS;Podem alterar as tabelas de IRS para 2024 e o Subsidio de Alimentação cartão para 9,60 (isento de Imposto) ?    ;*;3;Cluster D
11/07/2023 11:12;12234;2292;2;TE;INTEGRAÇÃO COMPRAS GPACK /PRIMAVERA ERRO    ;INTEGRAÇÃO COMPRAS GPACK /PRIMAVERA ERRO;1;Cluster B
13/03/2023 15:01;10356;2333;1;FS;Ajuda com o mapa de imobilizado    ;Ajuda com o mapa de imobilizado;1;Cluster B
26/01/2023 12:25;9563;2361;1;TE;necessito que efectuem a abertura de ano em todas as empresas por favor    ;PROCESSO CRIAO EM DUPLICADO;2;Cluster C
04/05/2022 12:42;6366;2424;3;DD;"Bom Dia  Fizemos uma actualização da V10 Primavera e no Cliente JBC estamos com o seguinte erro na integração: 04/05/2022 10:16:30;MAIN Sync;Method not found: 'Boolean StdPlatDS100.EngineCache.ContainsItem(enuEngineType, System.String, System.String)    ";Não integra;2;Cluster C
04/01/2024 14:48;14085;2333;1;TE;Ajuda no PAA , a descodificar ficheiro de vendas     ;Ajuda no PAA , a descodificar ficheiro de vendas ;0;Cluster A
02/02/2022 09:09;5202;2045;1;FS;"Envio DMR's AT, Erro  ficheiros  ""Ocorreu um erro na leitura do ficheiro Verifique se o ficheiro que está a tentar abrir é válido e corresponde à versão suportada pela aplicação (versão 1.0).     ";Exemplo TOMAZDOURO, mas existem diversos ficheiros devolvidos;2;Cluster C
15/07/2021 09:50;2773;2045;1;PM;Não é possível abrir lançamentos na base de dados 001    ;Base de dados: 001 - Heritage dreams, lda Na dados que foi copiada do cliente, não é possível abrir lançamentos. Aparece erro que anexo, e primavera fica bloqueado. Deixo meu contacto para esclarecimentos adicionais. ;0;Cluster A
13/08/2021 12:01;3068;7;1;FS;Bom dia, Agradeço que me liguem durante o dia de hoje pois tenho que enviar o iva para o cliente hoje, sem falta. Muito obrigada.    ;.;2;Cluster C
21/06/2023 14:57;11905;2292;2;FS;anular bloqueio de exercício e paramentos da IES    ;anular bloqueio de exercício e paramentos da IES;0;Cluster A
07/10/2022 15:05;7972;1728;1;RF;Sell out    ;A marca Pinko pretende o sell out separado por categorias, acessórios e vestuário. ;1;Cluster B
05/07/2021 15:40;2648;2215;2;TE;Num processamnto salarios não esta a processar desconto sindicato    ;Contacto telefonico;0;Cluster A
04/07/2022 16:38;7055;4;1;TE;PRIMAVERA VERSÃO 10  -  precisamos visualizar código e artigos  e não conseguimos.  Não conseguimos visualizar o nr. gerado na contabilidade quando se lança no modulo e compras uma fatura, ou se emite um recebimento a clientes. Não conseguimos digita    ;PRIMAVERA VERSÃO 10  -  precisamos visualizar código e artigos  e não conseguimos.  Não conseguimos visualizar o nr. gerado na contabilidade quando se lança no modulo e compras uma fatura, ou se emite um recebimento a clientes. Não conseguimos digita;2;Cluster C
24/06/2022 11:40;6967;2411;2;HR;"Bom dia, não consigo abrir uma pasta que tenho na rede de nome "" HelenaIEMatos"" que se encontra encriptada e que contem toda a informação que necessito para trabalhar.     ";"Quanto tento abrir qualquer documento dá o erro ""acesso negado.contacte o administrador""";2;Cluster C
03/02/2023 14:44;9757;2045;1;TE;ERRO SUBMISSAO DO SAFT - CLIENTE DHZ     ;ERRO SUBMISSAO DO SAFT - CLIENTE DHZ  - erro em anexo.;1;Cluster B
12/04/2023 11:53;10875;2092;1;PM;Guia de remessa bloqueada para faturar    ;"Texto do erro ""O documento GRM 201/2023 deverá ser comunicado à AT antes de ser transformado ou convertido""";0;Cluster A
10/05/2022 09:59;6440;1728;1;RF;A colega Sónia Gondar não consegue imprimir, nem do servidor nem do primavera.    ;A colega Sónia Gondar não consegue imprimir, nem do servidor nem do primavera.;0;Cluster A
20/01/2022 17:24;5007;1533;2;PM;Preciso de Ajuda para criar/gerar o ficheiro do Inventário de 2021    ;Inventário 2021;3;Cluster D
04/11/2022 10:39;8271;2045;1;TE;Comunicação das Séries 2023    ;Comunicação das Séries 2023;3;Cluster D
06/03/2023 10:31;10234;2332;2;FS;Precisava de fechar a contabilidade de 2022. Queria marcar uma data para se fechar. Poderá ser amanha? depois das 10 horas? As correções que pedi sobre a conta 278 e conta 79     ;*;3;Cluster D
10/05/2023 14:56;11280;2292;2;PM;Integração compras com data de 30/04/2023    ;Integração compras com data de 30/04/2023;3;Cluster D
04/01/2022 11:37;4672;1657;1;PM;o artigo cujo codigo v19028, dá mensagem de erro ao fechar talão cuja foto enviamos m anexo     ;Contactar Graça Leite tlm - ;0;Cluster A
20/04/2023 12:56;11023;4;1;TE;A contabilista não consegue fazer fecho do ano.     ;A contabilista não consegue fazer fecho do ano. ;0;Cluster A
17/06/2022 15:58;6893;2411;3;HR;Não consigo abrir PDF´s    ;Não consigo abrir PDF´s;0;Cluster A
11/01/2023 14:17;9276;1533;1;TE;Abertura do novo ano de Salarios e novas tabelas IRS    ;Boa Tarde,  é para abrir o novo ano de Salarios e novas tabelas de IRS;3;Cluster D
14/02/2022 15:17;5418;1423;2;TE;Configuração de uma entidade pública no primavera. Ticket #50290 da YET    ;PROCESSO CRIADO EM DUPLICADO ;2;Cluster C
07/07/2022 15:01;7104;2361;1;TE;Temporyworld 2021 - anulamos os apuramento do IVA todos de 2021 trimestral . Agora em 2022 está mensal e não conseguimos apurar em 2021 os 4 trimestres - Sónia     ;Duplicado;3;Cluster D
03/08/2022 15:08;7414;2333;1;RF;necessito que me ajudem com fatura , não está a sair , dar erro    ;necessito que me ajudem com fatura , não está a sair , dar erro;0;Cluster A
09/05/2022 09:56;6398;1022;2;TE;processamento de salário - fim de contrato - a 05/06/2021    ;O processamento sai com uma indemnização errada e não considera as faltas- o vencimento do mês de maio sai completo.;3;Cluster D
18/02/2023 11:34;10011;1022;1;TE;Falha no acesso remoto    ;através do portátil ao servidor. Com Rede/Local diferente;0;Cluster A
04/02/2022 10:18;5236;2411;1;FS;Erro ao guardar o detalhe da DMR nos fiscal Reporting    ; Quando tento gravar o detalhe em pdf da BD Geriabranca dá este erro embora consiga gravar o ficheiro a carregar na AT (já reportei o erro também por e-mail para Sérgio Pinto e Paulo Magalhães a 03/02)  ;0;Cluster A
27/02/2023 09:45;10111;2332;2;TE;"Não consigo abrir os movimentos das contas quando estou dentro de um diário, aparece a seguinte mensagem "" para fazer o drildown , os seguintes campos tem que estar visíveis . Ano, Lançamento, Documento"" Sempre consegui abrir !!!     ";*;2;Cluster C
10/01/2023 17:24;9252;50;3;HR;Depois de atualizar o primevera o ERP não abre.     ;Depois de atualizar o primevera o ERP não abre. ;2;Cluster C
25/03/2022 11:31;5927;2344;2;DD;"Integrador ZS - PRI erro ""Número de documento diferente da serie do ERP Primavera!"" Ele passou para o primavera um número diferente do que tinha no ZSBMS    ";Tenho urgência nisto porque pretendo fechar o stock do mês na próxima terça feira e tenho as vendas bloqueadas desde o inicio do mês. Obrigado;2;Cluster C
27/04/2021 11:20;1950;2290;1;AM;Ajuda com artigos compostos;;1;Cluster B
24/01/2022 10:02;5036;2333;1;PM;Mudar contribuinte em cliente .     ;Mudar contribuinte em cliente . ;1;Cluster B
23/05/2023 16:31;11478;1099;1;TE;ATUALIZAÇÃO SALÁRIOS    ;A SEMANA PASSADA FIZERAM A ATUALIZAÇÃO. MAS EM TERMOS DE, PELO MENOS, SUBSIDIO DE ALIMENTAÇÃO, A ATUALIZAÇÃO NÃO ESTÁ. ;1;Cluster B
25/01/2023 15:17;9525;2023;1;TE;Atualização das tabelas de Retenção IRS    ;Atualização das tabelas de Retenção IRS;1;Cluster B
17/04/2023 09:57;10924;2301;1;TE;"Quando faço a ""impressão"" dos recibos de vencimento para guardar no pc não vai como PDF mas sim como ACCESS?!?    ";Bom Dia, Não consigo guardar os recibos de vencimento como PDF, e ao colocar no e-mail para enviar para o cliente, aparece uma mensagem de virus... Peço-vos que verifiquem o que se passa. Obrigado. Fátima Capito Obriga;0;Cluster A
30/08/2021 09:03;3187;423;2;PM;Necessito de criar um posto de trabalho novo. Este assunto costuma ser com o Sr. Hernani pois foi ele que instalou o servidor. Obrigada Fátima Loureiro    ;posto jose pedro;2;Cluster C
28/11/2023 11:32;13655;1099;1;AF;EMPRESA MAVIVA - CRIEI 2 DOCUMENTOS DE VENDA: FAR E NCR    ;CRIA COMUNICAR A SERIE;0;Cluster A
29/03/2022 13:39;5967;2361;1;FS;Na empresa SABD - não consegui apurar os RLE 2021 pois informa que o exercício de 2020 não se encontra encerrado. Ao bloquear o mesmo informa que o não tenho apuramento dos RLE de 2020- Sónia     ;Penso que este problema está relacionado com a transição da versão anterior - vou ter o mesmo problema com a empresa Tal2log-;3;Cluster D
03/05/2023 11:41;11164;2411;1;TE;Foi eliminada uma pasta da rede e precisava que a restaurasse   caminho: \\lgpserver2\contabilidade\empresas\criterios e resultados\declaraçoes anuais\MAPA FIM ANO  Sergio Monteiro    ;Foi eliminada uma pasta da rede e precisava que a restaurasse   caminho: \\lgpserver2\contabilidade\empresas\criterios e resultados\declaraçoes anuais\MAPA FIM ANO  Sergio Monteiro;2;Cluster C
08/08/2023 12:52;12566;2292;2;TE;IMPORTAÇÃO COMPRAS DO GPACK COM DATA 31-07-2023    ;IMPORTAÇÃO COMPRAS DO GPACK COM DATA 31-07-2023;3;Cluster D
02/01/2023 13:38;9000;1728;1;TE;Não é possível registar as vendas     ;Aguardamos com urgência, o apoio técnico.  ;0;Cluster A
22/10/2021 14:52;3789;2045;1;FS;Erro envio email faturas PRIMAVERA - base de dados Queirua    ;Erro envio email faturas PRIMAVERA - base de dados Queirua;0;Cluster A
17/03/2022 14:18;5829;421;1;PM;"PAT/000/PRI/5642  03-03-2022 18:23  Configurar transações eletrónicas na empresa ""Bombeiros""      ";A partir de segunda vou estar fora durante 3 semanas...;3;Cluster D
15/12/2021 10:25;4348;2332;2;PM;RGP - Regularização de cauções, não consigo transferir para a contabilidade    ;.;0;Cluster A
16/03/2022 11:26;5807;2411;1;HR;Bom dia, Não consigo obter a aplicação do Relatório unico nem os documentos de apoio.    ;https://www.relatoriounico.pt/ru/downloads.seam;2;Cluster C
28/07/2021 16:07;2883;2333;1;PM;Gostaria de ajuda a efectuar uma novo codigo para salários.     ;Ajuda em salários;2;Cluster C
14/12/2021 11:28;4330;1385;1;TE;alterar iban nas faturas e nas profromas    ;adicionar novo iban ao já existente;0;Cluster A
17/09/2021 10:30;3378;2354;1;FS; Taxonomias - Plano de contas    ;Solicito apoio de um t?cnico para ajuda no plano alternativo das taxonomias que deveria estar o SNC MICROENTIDADES e est? o GERAL. Obrigada.;1;Cluster B
14/01/2022 17:09;4902;421;1;FS;Apesar da serie 2021 estar criada, está a dar erro na emissão dos recibos, série não criada.    ;Empresa A102 - Infonconsul;3;Cluster D
29/08/2023 11:37;12780;1558;1;TE;primavera    ;Diário A apuramento;1;Cluster B
04/04/2023 14:58;10757;2092;1;CR;consigo emitir faturas eletrônicas?    ;tenho que emitir e enviar uma fatura eletrônica através da yetspace;0;Cluster A
24/02/2023 16:27;10100;2411;1;TE;No Módulo RH/ ficheiro eur. para a seguradora de AT está em falta uma rubrica do funcionário 24 (abono para falhas). Não aparece no seguro e não consigo introduzir manualmente.    ;BD Gascan;2;Cluster C
02/08/2022 09:28;7386;2293;3;FS;Accouting - continuação telefonema de ontem ao Final do dia. Intervenção do Francisco.    ;Accouting - continuação telefonema de ontem ao Final do dia. Intervenção do Francisco.;2;Cluster C
26/07/2022 17:00;7291;421;1;FS;empresa 063 - Não deixa criar os anos    ;erro em anexo.;0;Cluster A
01/02/2024 11:54;14539;903;1;AF;Um funcionário esta de baixa medica e o programa esta a calcular um valor de vencimento.    ;Um funcionário esta de baixa medica e o programa esta a calcular um valor de vencimento.;2;Cluster C
27/04/2023 14:30;11104;1588;2;AM;Erro na impressão das listagens quinzenais.    ;Erro na impressão das listagens quinzenais.;0;Cluster A
17/04/2023 11:22;10929;2092;2;PM;listagem de vendas    ;precisamos de uma listagem com totais discriminados, por exemplo: vendas mercadorias - x valor, prestações serviços - x valor;1;Cluster B
25/11/2021 11:51;4141;1099;1;CR;EMPRESA MAVIVA    ;PROCESSAMENTO RECIBO 11/2021, NÃO DESCONTA 6 DIAS DO MÊS DE 10/2021 (134,00);1;Cluster B
06/11/2023 15:16;13435;2411;1;FS;Boa tarde, necessito de ajuda a importar os dados de ativos que foram adquiridos antes de 2023. As fichas estão criadas falta apenas aquisição e depreciação.     ;Boa tarde, necessito de ajuda a importar os dados de ativos que foram adquiridos antes de 2023. As fichas estão criadas falta apenas aquisição e depreciação.;3;Cluster D
27/10/2022 16:34;8212;1099;1;FS;EMISSÃO DE FATURAS    ;FOI EMITIDO, ESTE MÊS, 22 FATURAS COM MORADA INCOMPLETA. CLIENTE RECUSOU. PRETENDIA MANTER AS FATURAS COMPLETANDO APENAS A MORADA. MAS NÃO ESTOU A CONSEGUIR. HÁ ALGUMA FORMA DE FAZER?;1;Cluster B
07/12/2021 11:44;4255;2160;1;FS;necessito de corrigir numero de contribuinte na ficha de cliente     ;cliente nr 0501 | Nr correto ES B96539382;2;Cluster C
25/05/2023 10:56;11521;295;2;SP;conta 3112_conta iva indexada    ;"A conta ""3112"" no plano de contas, tem indexada a conta de iva ""12132321"", Ao  lançar a fatura no modulo de ""compras"", ao gravar na conta ""3112"", aparece a conta de iva 12100..."", não percebendo o porquê. ver print. liguem me tlm (DraJoana) ";1;Cluster B
09/12/2022 14:57;8666;2361;1;FS;Preciso de emitir a dmr da OALDA  no Fiscal Reporting pela 1ª vez e não sei como    ;.;2;Cluster C
27/01/2023 16:19;9593;1099;1;FS;CRIAR SERIE DE VENDAS PARA 2023 - ATCUD    ; PARA A EMPRESA MATRIZMILE - MATRIZMILENAR;3;Cluster D
12/07/2021 17:56;2737;1022;1;HR;Instalação de atualizações    ;Pedido de instalações de contabilidade e recursos humanos;1;Cluster B
09/09/2022 11:12;7709;1533;1;PM;Programa Primavera modulo Inventario ter acesso ao preço do produto    ;Eu preciso de ajuda porque a colega que está a lançar as saidas dos produtos tem que ter acesso aos preços, por favor vejam o que temos que fazer;0;Cluster A
17/02/2022 13:57;5469;2293;3;FS;Declaração IVA com Reembolso    ;Fiscal não está a preencher os anexos dos fornecedores. Já pedi reembolsos anteriormente neste cliente pelo primavera e funcionou corretamente. Sérgio disse-me para falar com Francisco mas liguei para fixo e não toca.;1;Cluster B
24/01/2023 10:59;9493;2301;1;FS;Atualização Modelo 10    ;Bom Dia, ao processar o modelo 10 no fiscal reporting, aparece a indicação que a estrutura não se encontra atualizada...Podem verificar e fazer a atualização, por favor? Obrigado Fátima Capito;1;Cluster B
03/01/2023 11:18;9057;1558;2;RF;VD não foi encontrado    ;ajuda na resolução do problema - VD não encontrado;0;Cluster A
07/10/2022 15:07;7973;2301;1;FS;Alteração morada na fatura nº576 da empresa Inoveoffice-263    ;"A morada foi corrigida na ficha do cliente, mas penso que fui ""buscar"" uma fatura e duplica-la...saiu como a morada antiga. Será que podem por favor colocar esta fatura com a morada correta? Obrigado Fátima Capito";2;Cluster C
01/06/2022 10:26;6727;2301;2;HR;Outlook não abre no PC. também não estão a abrir algumas aplicações (ex Teams) que abem sempre no arranque.    ;"Ao procurar por atualizações vi mensagem de erro "" este PC não cumpre os requisitos minimos para executar o windows 11"" ";0;Cluster A
04/01/2023 15:28;9126;933;1;HR;Instalação do Primavera e acesso ao servidor de novo utilizador.    ;Instalação do Primavera e acesso ao servidor de novo utilizador.;2;Cluster C
12/10/2022 11:16;8022;2332;1;TE;"É NECESSARIO ALTERAR A TAXA DA SEGURANÇA SOCIAL DO SR MANUEL VITOR, PARA REFORMADO. EMBORA SE ALTER PARA ""REGIME REFORMADO"" NA FICHA DO FINCIONARIO A TAXA NÃO ALTERA    ";*;2;Cluster C
13/10/2021 16:46;3682;2332;3;FS;Emissao de recibos    ;Continuo a ter o mesmo problema, nao consigo emitir recibos para pessoas que fazem pagamentos superiores a sua conta corrente. Necessito de uma resposta urgente a esta situa??o. obrigada;1;Cluster B
21/06/2022 10:56;6920;423;3;TE;Necessito de tirar a média de horas trabalhadas em 2021 e não consigo, além de que uma das empresas em 2021 teve funcionários apartir de 11/2021 e não consigo nem ver o quadro de pessoal    ;necessito saber a média de horas trabalhadas em 2021 nas diversas empresas;3;Cluster D
06/02/2024 08:50;14598;1533;3;TE;DMR - Declaração Mensal de Remunerações - AT    ;DMR - Declaração Mensal de Remunerações - AT - Nova versão;1;Cluster B
06/10/2022 17:06;7955;2023;1;TE;Processamento salario    ;empresa que admitiu o 1º funcionario em setembro, não consigo criar os periodos para processamento.;1;Cluster B
27/04/2022 08:16;6277;2301;2;FS;Bom   Dia  Não conseguio aceder ao primaveraConceição Lourenço    ;nao consigo aceder ao Primavera;0;Cluster A
01/09/2022 11:55;7632;7;1;PM;Bom dia, Preciso de ajuda num processamento de salário. Obrigada    ;.;2;Cluster C
13/04/2023 10:19;10895;2301;1;FS;empresa criada em 2022. quando abriu base de dados criou exercício de 2021    ;Agora não consigo apurar resultados em 2022 pois refere que o ano 2021 ainda não está encerrado. Não houve movimentos em 2021 e por isso não sei como encerrar o ano pois indica que têm que ser feitos os apuramentos.;3;Cluster D
26/05/2023 15:06;11553;1950;1;MR;Erros no SVAT     ;Não conseguimos encerrar o ano na contabilidade porque dá-nos um erro no SVAT. Uma empresa que integra na contabilidade as depreciações pelo Plano Fiscal de Depreciação, cria doc. de aquisição pelo Plano Cont.  gerando um erro aquando o encer. do ano;1;Cluster B
17/05/2022 12:02;6501;2333;1;FS;problemas com IVA , muito URGENTE tenho que enviar até dia 20.     ;problemas com IVA , muito URGENTE tenho que enviar até dia 20. ;2;Cluster C
30/01/2023 14:40;9611;2301;1;FS;Fiscal Reporting    ;"Boa Tarde, Erro na DMR (atualização, parece-me) e ao entrar no dá para ""imprimir""/guardar na rede. Peço-vos que verifiquem o que se passa, por favor. Obrigado. Fátima Capito";1;Cluster B
19/07/2023 10:20;12339;4;1;TE;transformação de documentos (ex:  encomenda em fatura) - não consigo fazer    ;transformação de documentos (ex:  encomenda em fatura) - não consigo fazer;0;Cluster A
23/06/2023 15:39;11963;1099;1;FS;EMPRESA MAVIVA    ;PROCESSAMENTO VENCIMENTO 06/2023 ESTÁ A RETIRAR HORAS EXTRAS DE 03/2023. EXEMPLO FUNCIONÁRIO HUGO. NÃO CONSIGO ELIMINAR.;1;Cluster B
22/03/2022 09:52;5888;1287;2;HR;Problemas com Office Extensions. O Sr Jorge mudou-me o excell para o de 2016 e agora não consigo iniciar.     ;Ver print do erro em anexo.;2;Cluster C
20/07/2021 14:48;2820;2301;2;PM;Uma das nossas empresas está a assumir como moeda de registo o DKK em vez do Euro o que nos tem causado muitos transtornos. Esta empresa também tem como formatação 3 casas decimais em vez de 2.     ;Pretendemos alterar estas 2 situações: moeda e casas decimais. A entidade é a n.º 175 - Casa Agrícola Cláudio & Irmãos, Soc. Unip. Lda.  ;2;Cluster C
06/02/2023 10:19;9770;2;2;PM;aparece mensagem quando tentamos gravar documento em COMPRAS com respeito ao IVA    ;iva;0;Cluster A
09/02/2023 13:17;9863;2361;1;FS;a DRI da Sabd sai com um valor que eu não consigo explicar, além disso não consigo fazer alterações à DMR    ;.;2;Cluster C
26/05/2023 16:51;11558;1900;2;AF;Olá boa tarde, preciso da vossa colaboração relativamente ao Java, no dia 12 de maio, houve atualização de taxas de IRS no Primavera e alterou possivelmente o Java. Os programas da Autoridade Tributaria acusa o seguinte erro:    ;O assistente de instalação não localizou qualquer java;2;Cluster C
21/10/2021 09:21;3766;2023;1;PM;ontem atualizaram o paa mas n?o conseguimos na mesma exportar as faturas do portal das finan?as    ;n?o conseguimos exportar as faturas no paa;2;Cluster C
28/07/2021 11:08;2877;113;3;FS;processamento de salarios  em 2 funcionarios    ;Francisco, o problema do sub de ferias não ficou resolvido;2;Cluster C
27/10/2021 16:13;3836;2333;1;PM;Por engano eliminei o modulo de vendas de uma das empresas, como recuperar    ;Por engano eliminei o modulo de vendas de uma das empresas, como recuperar;0;Cluster A
24/10/2022 09:16;8144;1099;1;TE;CÓPIAS SEGURANÇA PRIMAVERA    ;NÃO CONSIGO FAZER CÓPIAS DE SEGURANÇA PARA UM DISCO EXTERNO;1;Cluster B
21/11/2023 10:34;13582;2411;1;TE;Foram importado na empresa Gériabranca o mesmo SAFT da contabilidade 2 vezes, pelo que todos os movimentos estão repetidos. Pedimos apoio para a eliminação de um dos SAFT's importados. Obrigado     ;Foram importado na empresa Gériabranca o mesmo SAFT da contabilidade 2 vezes, pelo que todos os movimentos estão repetidos. Pedimos apoio para a eliminação de um dos SAFT's importados. Obrigado ;2;Cluster C
13/05/2022 14:46;6482;1099;1;TE;fiscal reporting    ;atualização IES anexos;1;Cluster B
08/04/2022 12:27;6112;2361;1;FS;Configurar na Análise de Custos com o Pessoal a segurança Social e o IRS    ;Urgente;2;Cluster C
27/04/2023 12:04;11101;423;2;PM;Fiz o cálculo de retroactivos referente aos descontos do subsidio de alimentação, mas este funcionário só está a fazer em relação a segurança social    ;Podem ver p.f. o que fiz de mal;2;Cluster C
06/10/2021 16:47;2323;933;1;PMM;Bom Dia,   Preciso do integrador de vendas com o pingwin a funcionar. Tenho as vendas de Abril todas por integrar o que condiciona o apuramento do IVA.  Obrigada    undefined;.;2;Cluster C
06/08/2021 15:00;2983;2045;1;FS;Fiscal Reporting    ;Não estamos a conseguir gerar declarações no fiscal reporting. Aparece erro abaixo. Erro acontece para DPIVA e DMR.;1;Cluster B
20/04/2023 14:14;11025;4;1;TE;Na contabilidade não se consegue fazer fecho do ano    ;Na contabilidade não se consegue fazer fecho do ano;0;Cluster A
